ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Transcriptions,AlternativeValues
Portuguese-6-270-1,,Portuguese,6-270,feltro,feltro,f ɛ ɫ t ɾ u,,,,false,^feltro$,Portuguese,,
Portuguese-6-280-1,,Portuguese,6-280,pele,pele,p ɛ l ɨ,,,,false,^pele$,Portuguese,,
Portuguese-6-290-1,,Portuguese,6-290,couro,couro,k o ɾ u,,,,false,^couro$,Portuguese,,
Portuguese-6-310-1,,Portuguese,6-310,fiar,fiar,f j a ɾ,,,,false,^fiar$,Portuguese,,
Portuguese-6-320-1,,Portuguese,6-320,fuso,fuso,f u z u,,,,false,^fuso$,Portuguese,,
Portuguese-6-330-1,,Portuguese,6-330,tecer,tecer,t ɨ s e ɾ,,,,false,^tecer$,Portuguese,,
Portuguese-6-340-1,,Portuguese,6-340,tear,tear,t i a ɾ,,,,false,^tear$,Portuguese,,
Portuguese-6-350-1,,Portuguese,6-350,costurar,costurar,k u ʃ t u ɾ a ɾ,,,,false,^costurar$,Portuguese,,
Portuguese-6-360-1,,Portuguese,6-360,agulha,agulha,ɐ ɡ u ʎ ɐ,,,,false,^agulha$,Portuguese,,
Portuguese-6-370-1,,Portuguese,6-370,sovela,sovela,s u v ɛ l ɐ,,,,false,^sovela$,Portuguese,,
Portuguese-6-380-1,,Portuguese,6-380,linha; fio,linha,l i ɲ ɐ,,,,false,^linha$,Portuguese,,
Portuguese-6-380-2,,Portuguese,6-380,linha; fio,fio,f j ɔ,,,,false,^fio$,Portuguese,,
Portuguese-6-390-1,,Portuguese,6-390,corante; tingir,corante,k u ɾ ɐ̃ t ɨ,,,,false,^corante$,Portuguese,,
Portuguese-6-390-2,,Portuguese,6-390,corante; tingir,tingir,t ĩ ʒ i ɾ,,,,false,^tingir$,Portuguese,,
Portuguese-6-410-1,,Portuguese,6-410,capa; manto,capa,k a p ɐ,,,,false,^capa$,Portuguese,,
Portuguese-6-410-2,,Portuguese,6-410,capa; manto,manto,m ɐ̃ t u,,,,false,^manto$,Portuguese,,
Portuguese-6-411-1,,Portuguese,6-411,poncho; capa,poncho,p õ ʃ u,,,,false,^poncho$,Portuguese,,
Portuguese-6-411-2,,Portuguese,6-411,poncho; capa,capa,k a p ɐ,,,,false,^capa$,Portuguese,,
Portuguese-6-420-1,,Portuguese,6-420,vestido,vestido,v ɨ ʃ t i d u,,,,false,^vestido$,Portuguese,,
Portuguese-6-430-1,,Portuguese,6-430,casaco,casaco,k ɐ z a k u,,,,false,^casaco$,Portuguese,,
Portuguese-6-440-1,,Portuguese,6-440,camisa,camisa,k ɐ m i z ɐ,,,,false,^camisa$,Portuguese,,
Portuguese-6-450-1,,Portuguese,6-450,colarinho,colarinho,k u l ɐ ɾ i ɲ u,,,,false,^colarinho$,Portuguese,,
Portuguese-6-460-1,,Portuguese,6-460,saia,saia,s ai ɐ,,,,false,^saia$,Portuguese,,
Portuguese-6-461-1,,Portuguese,6-461,saia de palha/capin,saia_de_palha,s ai ɐ + d ɨ + p a ʎ ɐ,,,,false,^saia_de_palha$,Portuguese,,
Portuguese-6-461-2,,Portuguese,6-461,saia de palha/capin,capin,k ɐ p ĩ,,,,false,^capin$,Portuguese,,
