Grapheme	IPA	Note
^embriagado$	ẽ b ɾ i a g a d u
^empilhar$	ẽ p i ʎ a ʁ
^empola$	ẽ p ɔ l ɐ
^emprenhar$	ẽ p ɾ e ɲ a ʁ
^emprestar$	ẽ p ɾ e ʃ t a ʁ
^empurrar$	ẽ p u ʁ a ʁ
^encontrar$	ẽ k õ t ɾ a ʁ
^enfeite$	ẽ f ei tʃ i
^engano$	ẽ g ɐ n u
^engolir$	ẽ g o l i ʁ
^enguia$	ẽ g i ɐ
^enrolar$	ẽ ʁ o l a ʁ
^enrugado$	ẽ ʁ u g a d u
^ensinar$	ẽ s i n a ʁ
^enteada$	ẽ tʃ i a d ɐ
^enteado$	ẽ tʃ i a d u
^enterrar$	ẽ t e ʁ a ʁ
^entrar$	ẽ t ɾ a ʁ
^enviar$	ẽ v i a ʁ
^envolver$	ẽ v ɔu v e ʁ
^enxada$	ẽ ʃ a d ɐ
^enxó$	ẽ ʃ ɔ
^errado$	i ʁ a d u
^errar$	i ʁ a ʁ
^erro$	ɛ ʁ u
^erva$	ɛ ʁ v ɐ
^esburacar$	i ʒ b u ɾ a k a ʁ
^escada$	i ʃ k a d ɐ
^escama$	i ʃ k ɐ m ɐ
^escapar$	i ʃ k a p a ʁ
^escavar$	i ʃ k a v a ʁ
^escola$	i ʃ k ɔ l ɐ
^escolher$	i ʃ k o ʎ e ʁ
^esconder$	i ʃ k õ d e ʁ
^escorpião$	i ʃ k o ʁ p i ɐ̃ũ
^escorregar$	i ʃ k o ʁ e g a ʁ
^escorrer$	i ʃ k o ʁ e ʁ
^escova$	i ʃ k ɔ v ɐ
^escravo$	i ʃ k ɾ a v u
^escrever$	i ʃ k ɾ e v e ʁ
^escudo$	i ʃ k u d u
^esculpir$	i ʃ k uː p i ʁ
^escultor$	i ʃ k uː t o ʁ
^escuridão$	i ʃ k u ɾ i d ɐ̃ũ
^escuro$	i ʃ k u ɾ u
^escutar$	i ʃ k u t a ʁ
^esfera$	i ʃ f e ɾ ɐ
^esfolar$	i ʃ f o l a ʁ
^esfregar$	i ʃ f ɾ e g a ʁ
^esmagar$	i ʒ m a g a ʁ
^espada$	i ʃ p a d ɐ
^espalhar$	i ʃ p a ʎ a ʁ
^espantado$	i ʃ p ɐ̃ t a d u
^espaço$	i ʃ p a s u
^espelho$	i ʃ p e ʎ u
^esperança$	i ʃ p e ɾ ɐ̃ s ɐ
^esperto$	i ʃ p ɛ ʁ t u
^espinha_dorsal$	i ʃ p i ɲ ɐ + d o ʁ s au
^espinhaço$	i ʃ p i ɲ a s u
^espirrar$	i ʃ p i ʁ a ʁ
^esposa$	i ʃ p ɔ z ɐ
^espremer$	i ʃ p ɾ e m e ʁ
^espuma$	i ʃ p u m ɐ
^espírito$	i ʃ p i ɾ i t u
^esquecer-se$	i s k e s ɛ ʁ s i
^esquerda$	i s k ɛ ʁ d ɐ
^esquina$	i s k i n ɐ
^estafado$	i ʃ t a f a d u
^estanho$	i ʃ t ɐ ɲ u
^estar_com_fome$	i ʃ t a ʁ + k õ + f ɔ m i
^estar_em_pé$	i ʃ t a ʁ + ẽĩ + p ɛ
^estação$	i ʃ t a s ɐ̃ũ
^este$	ɛ ʃ tʃ i
^estender$	i ʃ t ẽ d e ʁ
^esticar$	i ʃ tʃ i k a ʁ
^estilingue$	i ʃ tʃ i l ĩ g i
^estorvar$	i ʃ t o ʁ v a ʁ
^estrada$	i ʃ t ɾ a d ɐ
^estragar$	i ʃ t ɾ a g a ʁ
^estranho$	i ʃ t ɾ ɐ ɲ u
^estreito$	i ʃ t ɾ ei t u
^estrela$	i ʃ t ɾ ɛ l ɐ
^estudar$	i ʃ t u d a ʁ
^estupro$	i ʃ t u p ɾ u
^estábulo$	i ʃ t a b u l u
^estátua$	i ʃ t a t u ɐ
^estômago$	i ʃ t o m a g u
^eu$	eu
^evidente$	i v i d ẽ tʃ i
^explicar$	i ʃ p l i k a ʁ
^extinguir$	i ʃ tʃ ĩ g i ʁ
^extremidade$	i ʃ t ɾ e m i d a dʒ i
^exército$	i z ɛ ʁ s i t u
^faca$	f a k ɐ
^fada$	f a d ɐ
^faia$	f ai ɐ
^falar$	f a l a ʁ
^falcão$	f au k ɐ̃ũ
^falhar$	f a ʎ a ʁ
^falta$	f au t ɐ
^família$	f ɐ m i l i ɐ
^fantasma$	f ɐ̃ t a ʒ m ɐ
^farejar$	f a ɾ e ʒ a ʁ
^farinha$	f a ɾ i ɲ ɐ
^fazendeiro$	f a z ẽ d ei ɾ u
^fazer$	f a z e ʁ
^febre$	f ɛ b ɾ i
^fechadura$	f e ʃ a d u ɾ ɐ
^fechar$	f e ʃ a ʁ
^fedorento$	f e d o ɾ ẽ t u
^feijão$	f ei ʒ ɐ̃ũ
^feio$	f ei u
^feiticeiro$	f ei tʃ i s ei ɾ u
^feitiçaria$	f ei tʃ i s a ɾ i ɐ
^feliz$	f e l i ʃ
^feltro$	f ɛu t ɾ u
^feminino$	f e m i n i n u
^fender$	f ẽ d e ʁ
^feno$	f ɛ n u
^ferida$	f e ɾ i d ɐ
