Grapheme	IPA	Note
^contemplar$	k o n t e m p l a ɾ
^mostrar$	m o s t ɾ a ɾ
^seɲalar$	s e ɲ a l a ɾ
^brillar$	b ɾ i ʝ a ɾ
^brillante$	b ɾ i ʝ a n t e
^resplandor$	r ɛ s p l a n d o ɾ
^color$	k o l o ɾ
^claro$	k l a ɾ o
^oscuro$	o s k u ɾ o
^blanco$	b l a n k o
^negro$	n e ɣ ɾ o
^rojo$	r o x o
^azul$	a s u l
^verde$	b ɛ ɾ ð e
^amarillo$	a m a ɾ i ʝ o
^tocar$	t o k a ɾ
^pellizcar$	p e ʝ i s k a ɾ
^sentir$	s e n t i ɾ
^duro$	d u ɾ o
^suave$	s w a β e
^áspero$	a s p ɛ ɾ o
^suave$	s w a β e
^liso$	l i s o
^afilado$	a f i l a ð o
^aguzado$	a ɣ u s a ð o
^filoso$	f i l o s o
^romo$	r o m o
^embotado$	e m b o t a ð o
^pesado$	p e s a ð o
^liviano$	l i β j a n o
^ligero$	l i x ɛ ɾ o
^mojado$	m o x a ð o
^húmedo$	u m e ð o
^seco$	s e k o
^caliente$	k a l j e n t e
^tibio$	t i β j o
^cálido$	k a l i ð o
^frío$	f ɾ i o
^limpio$	l i m p j o
^sucio$	s u s j o
^arrugado$	a r u ɣ a ð o
^alma$	a l m a
^sorprendido$	s o ɾ p ɾ e n d i ð o
^estupefacto$	ɛ s t u p e f a k t o
^buena_suerte$	b w e n a + s w ɛ ɾ t e
^mala_suerte$	m a l a + s w ɛ ɾ t e
^alegre$	a l e ɣ ɾ e
^contento$	k o n t e n t o
^feliz$	f e l i s
^reír$	r e i ɾ
^sonreír$	s o n r e i ɾ
^jugar$	x u ɣ a ɾ
^querer$	k ɛ ɾ ɛ ɾ
^amar$	a m a ɾ
^besar$	b e s a ɾ
^abrazar$	a β ɾ a s a ɾ
^dolor$	d o l o ɾ
^tristeza$	t ɾ i s t e s a
^dolor$	d o l o ɾ
^pena$	p e n a
^ansiedad$	a n s j e ð a ð
