cerrojo	θeˈrroxo
llave	ˈʎaβe
ventana	ben̩ˈtana
pared	paˈreð
muro	ˈmuro
fogón	
estufa	esˈtufa
chimenea	ʧimeˈnea
escalera	eskaˈlera
cama	ˈkama
almohada	almoˈaða
frazada	fraˈθaða
cobija	koˈβixa
silla	ˈsiʎa
mesa	ˈmesa
lámpara	
antorcha	an̩ˈtorʧa
vela	ˈbela
repisa	rreˈpisa
batea	baˈtea
artesa	arˈtesa
techo	ˈteʧo
paja	ˈpaxa
cumbrera	kumˈbrera
viga	ˈbiɣa
viga	ˈbiɣa
poste	ˈposte
tabla	ˈtaβla
arco	ˈarko
albaɲil	
masón	
ladrillo	laˈðriʎo
argamasa	arɣaˈmasa
adobe	aˈðoβe
labrador	laβraˈðor(a)
ranchero	rranˈʧero, -a
agricultor	aɣrikul̩ˈtor(a)
chacra	ˈʧakra
jardín	
huerto	ˈwerto
cultivar	kul̩tiˈβar
labrar	laˈβrar
cerca	ˈθerka
cerco	ˈθerko
zanja	ˈθaŋxa
canal	kaˈnal
arar	aˈrar
surco	ˈsurko
excavar	eskaˈβar
cavar	kaˈβar
laya	ˈlaɟa
pala	ˈpala
azadón	
azada	aˈθaða
horqueta	orˈketa
rastro	ˈrrastro
rastrillo	rrasˈtriʎo
sembrar	semˈbrar
desparramar	desparraˈmar
semilla	seˈmiʎa
segar	seˈɣar
cosechar	koseˈʧar
hoz	oθ
guadaɲa	
trillar	triˈʎar
desgranar	desɣraˈnar
era	ˈera
lugar para trillar	
cosecha	koˈseʧa
siega	ˈsjeɣa
grano	ˈgrano
trigo	ˈtriɣo
cebada	θeˈβaða
centeno	θen̩ˈteno
avena	aˈβena
maíz	
arroz	aˈrroθ
hierba	ˈɟerβa
pasto	ˈpasto
heno	ˈeno
paja	ˈpaxa
planta	ˈplan̩ta
plantar	plan̩ˈtar
sembrar	semˈbrar
raíz	
rama	ˈrrama
hoja	ˈoxa
flor	flor
roble	ˈrroβle
haya	ˈaɟa
abedul	aβeˈðul
pino	ˈpino
abeto	aˈβeto
bellota	beˈʎota
enredadera	enrreðaˈðera
bejuco	beˈxuko
liana	liˈana
tabaco	taˈβako
fumar	fuˈmar
pipa	ˈpipa
tocón	
cepa	ˈθepa
tronco	ˈtroŋko
rama bifurcada	
corteza	korˈteθa
savia	ˈsaβja
palmera	palˈmera
